datatime,acc_x,acc_y,acc_z
2021-11-08 23:26:04.343750-05:00,-30,-74,-18
2021-11-08 23:26:04.375000-05:00,-27,-80,-19
2021-11-08 23:26:04.406250-05:00,-34,-73,-22
2021-11-08 23:26:04.437500-05:00,-36,-67,-21
2021-11-08 23:26:04.468750-05:00,-33,-62,-17
2021-11-08 23:26:04.500000-05:00,-28,-59,-11
2021-11-08 23:26:04.531250-05:00,-24,-58,-3
2021-11-08 23:26:04.562500-05:00,-24,-61,4
2021-11-08 23:26:04.593750-05:00,-22,-64,5
2021-11-08 23:26:04.625000-05:00,-26,-58,5
2021-11-08 23:26:04.656250-05:00,-25,-54,9
2021-11-08 23:26:04.687500-05:00,-22,-52,10
2021-11-08 23:26:04.718750-05:00,-20,-58,10
2021-11-08 23:26:04.750000-05:00,-29,-72,6
2021-11-08 23:26:04.781250-05:00,-29,-76,6
2021-11-08 23:26:04.812500-05:00,25,-69,35
2021-11-08 23:26:04.843750-05:00,1,-60,15
2021-11-08 23:26:04.875000-05:00,-3,-73,18
2021-11-08 23:26:04.906250-05:00,-7,-87,15
2021-11-08 23:26:04.937500-05:00,-9,-80,6
2021-11-08 23:26:04.968750-05:00,-9,-70,-3
2021-11-08 23:26:05-05:00,-10,-65,-4
2021-11-08 23:26:05.031250-05:00,-10,-63,-2
2021-11-08 23:26:05.062500-05:00,-11,-62,-2
2021-11-08 23:26:05.093750-05:00,-14,-60,-2
2021-11-08 23:26:05.125000-05:00,-17,-57,-2
2021-11-08 23:26:05.156250-05:00,-17,-55,-2
2021-11-08 23:26:05.187500-05:00,-16,-51,-5
2021-11-08 23:26:05.218750-05:00,-19,-52,-6
2021-11-08 23:26:05.250000-05:00,-20,-53,-5
2021-11-08 23:26:05.281250-05:00,-18,-56,-3
2021-11-08 23:26:05.312500-05:00,-17,-56,-3
2021-11-08 23:26:05.343750-05:00,-17,-58,-1
2021-11-08 23:26:05.375000-05:00,-17,-60,-1
2021-11-08 23:26:05.406250-05:00,-17,-62,-1
2021-11-08 23:26:05.437500-05:00,-18,-64,0
2021-11-08 23:26:05.468750-05:00,-18,-64,1
2021-11-08 23:26:05.500000-05:00,-19,-65,2
2021-11-08 23:26:05.531250-05:00,-19,-65,2
2021-11-08 23:26:05.562500-05:00,-18,-65,2
2021-11-08 23:26:05.593750-05:00,-18,-65,3
2021-11-08 23:26:05.625000-05:00,-18,-65,3
2021-11-08 23:26:05.656250-05:00,-18,-65,4
2021-11-08 23:26:05.687500-05:00,-18,-65,4
2021-11-08 23:26:05.718750-05:00,-18,-66,6
2021-11-08 23:26:05.750000-05:00,-18,-67,7
2021-11-08 23:26:05.781250-05:00,-18,-67,6
2021-11-08 23:26:05.812500-05:00,-18,-69,6
2021-11-08 23:26:05.843750-05:00,-17,-73,5
2021-11-08 23:26:05.875000-05:00,-17,-78,4
2021-11-08 23:26:05.906250-05:00,-18,-80,3
2021-11-08 23:26:05.937500-05:00,-19,-74,3
