datatime,acc_x,acc_y,acc_z,label
2021-10-27 15:42:55.750000+00:00,8,-12,60,sitting
2021-10-27 15:42:55.781250+00:00,8,-12,58,sitting
2021-10-27 15:42:55.812500+00:00,8,-12,58,sitting
2021-10-27 15:42:55.843750+00:00,8,-12,60,sitting
2021-10-27 15:42:55.875000+00:00,8,-13,60,sitting
2021-10-27 15:42:55.906250+00:00,8,-13,60,sitting
2021-10-27 15:42:55.937500+00:00,8,-13,60,sitting
2021-10-27 15:42:55.968750+00:00,8,-13,59,sitting
2021-10-27 15:42:56+00:00,8,-12,60,sitting
2021-10-27 15:42:56.031250+00:00,10,-12,58,sitting
2021-10-27 15:42:56.062500+00:00,9,-12,58,sitting
2021-10-27 15:42:56.093750+00:00,8,-12,60,sitting
2021-10-27 15:42:56.125000+00:00,8,-12,59,sitting
2021-10-27 15:42:56.156250+00:00,7,-12,60,sitting
2021-10-27 15:42:56.187500+00:00,8,-13,61,sitting
2021-10-27 15:42:56.218750+00:00,7,-13,60,sitting
2021-10-27 15:42:56.250000+00:00,8,-14,61,sitting
2021-10-27 15:42:56.281250+00:00,9,-14,62,sitting
2021-10-27 15:42:56.312500+00:00,8,-14,60,sitting
2021-10-27 15:42:56.343750+00:00,9,-13,61,sitting
2021-10-27 15:42:56.375000+00:00,9,-14,62,sitting
2021-10-27 15:42:56.406250+00:00,9,-14,61,sitting
2021-10-27 15:42:56.437500+00:00,9,-14,63,sitting
2021-10-27 15:42:56.468750+00:00,9,-14,61,sitting
2021-10-27 15:42:56.500000+00:00,9,-13,59,sitting
2021-10-27 15:42:56.531250+00:00,9,-14,58,sitting
2021-10-27 15:42:56.562500+00:00,10,-14,60,sitting
2021-10-27 15:42:56.593750+00:00,9,-14,60,sitting
2021-10-27 15:42:56.625000+00:00,9,-15,60,sitting
2021-10-27 15:42:56.656250+00:00,9,-14,57,sitting
2021-10-27 15:42:56.687500+00:00,9,-14,58,sitting
2021-10-27 15:42:56.718750+00:00,10,-14,58,sitting
2021-10-27 15:42:56.750000+00:00,10,-14,58,sitting
2021-10-27 15:42:56.781250+00:00,10,-14,57,sitting
2021-10-27 15:42:56.812500+00:00,10,-14,56,sitting
2021-10-27 15:42:56.843750+00:00,10,-14,57,sitting
2021-10-27 15:42:56.875000+00:00,10,-15,57,sitting
2021-10-27 15:42:56.906250+00:00,9,-15,58,sitting
2021-10-27 15:42:56.937500+00:00,9,-15,58,sitting
2021-10-27 15:42:56.968750+00:00,11,-16,58,sitting
2021-10-27 15:42:57+00:00,11,-16,59,sitting
2021-10-27 15:42:57.031250+00:00,12,-15,58,sitting
2021-10-27 15:42:57.062500+00:00,11,-16,60,sitting
2021-10-27 15:42:57.093750+00:00,12,-16,60,sitting
2021-10-27 15:42:57.125000+00:00,11,-16,59,sitting
2021-10-27 15:42:57.156250+00:00,11,-17,60,sitting
2021-10-27 15:42:57.187500+00:00,9,-17,59,sitting
2021-10-27 15:42:57.218750+00:00,9,-17,60,sitting
2021-10-27 15:42:57.250000+00:00,9,-16,60,sitting
2021-10-27 15:42:57.281250+00:00,10,-17,60,sitting
2021-10-27 15:42:57.312500+00:00,9,-17,60,sitting
2021-10-27 15:42:57.343750+00:00,9,-17,60,sitting
2021-10-27 15:42:57.375000+00:00,10,-17,59,sitting
2021-10-27 15:42:57.406250+00:00,9,-16,60,sitting
2021-10-27 15:42:57.437500+00:00,8,-16,59,sitting
2021-10-27 15:42:57.468750+00:00,8,-16,59,sitting
2021-10-27 15:42:57.500000+00:00,11,-16,58,sitting
2021-10-27 15:42:57.531250+00:00,10,-16,58,sitting
2021-10-27 15:42:57.562500+00:00,9,-15,59,sitting
2021-10-27 15:42:57.593750+00:00,9,-16,60,sitting
2021-10-27 15:42:57.625000+00:00,9,-16,59,sitting
2021-10-27 15:42:57.656250+00:00,9,-16,58,sitting
2021-10-27 15:42:57.687500+00:00,9,-16,58,sitting
2021-10-27 15:42:57.718750+00:00,10,-16,58,sitting
2021-10-27 15:42:57.750000+00:00,11,-17,59,sitting
2021-10-27 15:42:57.781250+00:00,11,-17,60,sitting
2021-10-27 15:42:57.812500+00:00,11,-17,59,sitting
2021-10-27 15:42:57.843750+00:00,11,-18,60,sitting
2021-10-27 15:42:57.875000+00:00,11,-18,60,sitting
2021-10-27 15:42:57.906250+00:00,10,-17,58,sitting
2021-10-27 15:42:57.937500+00:00,10,-17,59,sitting
2021-10-27 15:42:57.968750+00:00,11,-17,59,sitting
2021-10-27 15:42:58+00:00,11,-17,59,sitting
2021-10-27 15:42:58.031250+00:00,10,-17,59,sitting
2021-10-27 15:42:58.062500+00:00,11,-17,58,sitting
2021-10-27 15:42:58.093750+00:00,9,-16,59,sitting
2021-10-27 15:42:58.125000+00:00,9,-17,60,sitting
2021-10-27 15:42:58.156250+00:00,10,-17,58,sitting
2021-10-27 15:42:58.187500+00:00,10,-17,60,sitting
2021-10-27 15:42:58.218750+00:00,12,-17,59,sitting
2021-10-27 15:42:58.250000+00:00,10,-17,59,sitting
2021-10-27 15:42:58.281250+00:00,11,-16,59,sitting
2021-10-27 15:42:58.312500+00:00,10,-17,59,sitting
2021-10-27 15:42:58.343750+00:00,10,-16,58,sitting
2021-10-27 15:42:58.375000+00:00,9,-15,58,sitting
2021-10-27 15:42:58.406250+00:00,10,-15,59,sitting
2021-10-27 15:42:58.437500+00:00,9,-15,59,sitting
2021-10-27 15:42:58.468750+00:00,9,-14,58,sitting
2021-10-27 15:42:58.500000+00:00,10,-15,63,sitting
2021-10-27 15:42:58.531250+00:00,11,-16,63,sitting
2021-10-27 15:42:58.562500+00:00,11,-15,60,sitting
2021-10-27 15:42:58.593750+00:00,12,-16,60,sitting
2021-10-27 15:42:58.625000+00:00,12,-17,62,sitting
2021-10-27 15:42:58.656250+00:00,12,-16,58,sitting
2021-10-27 15:42:58.687500+00:00,11,-15,57,sitting
2021-10-27 15:42:58.718750+00:00,9,-16,59,sitting
2021-10-27 15:42:58.750000+00:00,10,-16,57,sitting
2021-10-27 15:42:58.781250+00:00,9,-16,57,sitting
2021-10-27 15:42:58.812500+00:00,10,-15,53,sitting
2021-10-27 15:42:58.843750+00:00,10,-15,53,sitting
2021-10-27 15:42:58.875000+00:00,10,-16,56,sitting
2021-10-27 15:42:58.906250+00:00,10,-14,53,sitting
2021-10-27 15:42:58.937500+00:00,12,-13,56,sitting
2021-10-27 15:42:58.968750+00:00,9,-13,59,sitting
2021-10-27 15:42:59+00:00,9,-16,59,sitting
2021-10-27 15:42:59.031250+00:00,13,-15,61,sitting
2021-10-27 15:42:59.062500+00:00,9,-17,68,sitting
2021-10-27 15:42:59.093750+00:00,12,-19,63,sitting
2021-10-27 15:42:59.125000+00:00,9,-19,64,sitting
2021-10-27 15:42:59.156250+00:00,10,-22,66,sitting
2021-10-27 15:42:59.187500+00:00,10,-22,61,sitting
2021-10-27 15:42:59.218750+00:00,8,-17,60,sitting
2021-10-27 15:42:59.250000+00:00,11,-20,61,sitting
2021-10-27 15:42:59.281250+00:00,10,-19,60,sitting
2021-10-27 15:42:59.312500+00:00,10,-15,59,sitting
2021-10-27 15:42:59.343750+00:00,10,-16,61,sitting
2021-10-27 15:42:59.375000+00:00,10,-16,57,sitting
2021-10-27 15:42:59.406250+00:00,9,-14,57,sitting
2021-10-27 15:42:59.437500+00:00,11,-17,58,sitting
2021-10-27 15:42:59.468750+00:00,8,-16,56,sitting
2021-10-27 15:42:59.500000+00:00,8,-16,57,sitting
2021-10-27 15:42:59.531250+00:00,10,-18,57,sitting
2021-10-27 15:42:59.562500+00:00,9,-18,57,sitting
2021-10-27 15:42:59.593750+00:00,10,-17,58,sitting
2021-10-27 15:42:59.625000+00:00,10,-18,58,sitting
2021-10-27 15:42:59.656250+00:00,11,-18,57,sitting
2021-10-27 15:42:59.687500+00:00,11,-16,58,sitting
2021-10-27 15:42:59.718750+00:00,11,-17,58,sitting
2021-10-27 15:42:59.750000+00:00,11,-16,59,sitting
2021-10-27 15:42:59.781250+00:00,11,-17,59,sitting
2021-10-27 15:42:59.812500+00:00,11,-16,58,sitting
2021-10-27 15:42:59.843750+00:00,11,-17,59,sitting
2021-10-27 15:42:59.875000+00:00,11,-17,58,sitting
2021-10-27 15:42:59.906250+00:00,10,-17,57,sitting
2021-10-27 15:42:59.937500+00:00,10,-17,58,sitting
2021-10-27 15:42:59.968750+00:00,11,-17,59,sitting
2021-10-27 15:43:00+00:00,10,-17,59,sitting
2021-10-27 15:43:00.031250+00:00,9,-17,59,sitting
2021-10-27 15:43:00.062500+00:00,9,-17,60,sitting
2021-10-27 15:43:00.093750+00:00,9,-16,59,sitting
2021-10-27 15:43:00.125000+00:00,9,-16,60,sitting
2021-10-27 15:43:00.156250+00:00,10,-16,60,sitting
2021-10-27 15:43:00.187500+00:00,10,-17,61,sitting
2021-10-27 15:43:00.218750+00:00,10,-17,60,sitting
2021-10-27 15:43:00.250000+00:00,10,-17,60,sitting
2021-10-27 15:43:00.281250+00:00,10,-18,60,sitting
2021-10-27 15:43:00.312500+00:00,10,-17,60,sitting
2021-10-27 15:43:00.343750+00:00,10,-18,60,sitting
2021-10-27 15:43:00.375000+00:00,11,-17,58,sitting
2021-10-27 15:43:00.406250+00:00,10,-17,59,sitting
2021-10-27 15:43:00.437500+00:00,11,-17,57,sitting
2021-10-27 15:43:00.468750+00:00,10,-16,58,sitting
2021-10-27 15:43:00.500000+00:00,11,-17,57,sitting
2021-10-27 15:43:00.531250+00:00,11,-16,56,sitting
2021-10-27 15:43:00.562500+00:00,10,-16,57,sitting
2021-10-27 15:43:00.593750+00:00,11,-16,56,sitting
2021-10-27 15:43:00.625000+00:00,10,-17,58,sitting
2021-10-27 15:43:00.656250+00:00,11,-17,58,sitting
2021-10-27 15:43:00.687500+00:00,11,-17,58,sitting
2021-10-27 15:43:00.718750+00:00,9,-17,58,sitting
2021-10-27 15:43:00.750000+00:00,10,-17,58,sitting
2021-10-27 15:43:00.781250+00:00,10,-17,60,sitting
2021-10-27 15:43:00.812500+00:00,11,-17,60,sitting
2021-10-27 15:43:00.843750+00:00,10,-16,59,sitting
2021-10-27 15:43:00.875000+00:00,10,-16,59,sitting
2021-10-27 15:43:00.906250+00:00,11,-16,61,sitting
2021-10-27 15:43:00.937500+00:00,11,-17,61,sitting
2021-10-27 15:43:00.968750+00:00,10,-17,62,sitting
2021-10-27 15:43:01+00:00,12,-18,62,sitting
2021-10-27 15:43:01.031250+00:00,10,-18,61,sitting
2021-10-27 15:43:01.062500+00:00,10,-16,60,sitting
2021-10-27 15:43:01.093750+00:00,10,-17,63,sitting
2021-10-27 15:43:01.125000+00:00,11,-15,61,sitting
2021-10-27 15:43:01.156250+00:00,8,-14,60,sitting
2021-10-27 15:43:01.187500+00:00,10,-14,58,sitting
2021-10-27 15:43:01.218750+00:00,10,-15,61,sitting
2021-10-27 15:43:01.250000+00:00,10,-14,59,sitting
2021-10-27 15:43:01.281250+00:00,9,-15,59,sitting
2021-10-27 15:43:01.312500+00:00,9,-15,59,sitting
2021-10-27 15:43:01.343750+00:00,10,-17,61,sitting
2021-10-27 15:43:01.375000+00:00,12,-16,57,sitting
2021-10-27 15:43:01.406250+00:00,11,-17,58,sitting
2021-10-27 15:43:01.437500+00:00,12,-16,60,sitting
2021-10-27 15:43:01.468750+00:00,11,-15,60,sitting
2021-10-27 15:43:01.500000+00:00,11,-15,60,sitting
2021-10-27 15:43:01.531250+00:00,10,-16,62,sitting
2021-10-27 15:43:01.562500+00:00,11,-14,59,sitting
2021-10-27 15:43:01.593750+00:00,10,-16,62,sitting
2021-10-27 15:43:01.625000+00:00,11,-16,61,sitting
2021-10-27 15:43:01.656250+00:00,9,-15,57,sitting
2021-10-27 15:43:01.687500+00:00,9,-16,61,sitting
2021-10-27 15:43:01.718750+00:00,11,-17,62,sitting
2021-10-27 15:43:01.750000+00:00,8,-18,65,sitting
2021-10-27 15:43:01.781250+00:00,10,-19,63,sitting
2021-10-27 15:43:01.812500+00:00,10,-20,65,sitting
2021-10-27 15:43:01.843750+00:00,11,-19,64,sitting
2021-10-27 15:43:01.875000+00:00,9,-17,67,sitting
2021-10-27 15:43:01.906250+00:00,9,-17,67,sitting
2021-10-27 15:43:01.937500+00:00,8,-15,66,sitting
2021-10-27 15:43:01.968750+00:00,9,-14,68,sitting
2021-10-27 15:43:02+00:00,9,-14,68,sitting
2021-10-27 15:43:02.031250+00:00,9,-14,67,sitting
2021-10-27 15:43:02.062500+00:00,9,-13,67,sitting
2021-10-27 15:43:02.093750+00:00,9,-14,68,sitting
2021-10-27 15:43:02.125000+00:00,8,-14,66,sitting
2021-10-27 15:43:02.156250+00:00,8,-14,66,sitting
2021-10-27 15:43:02.187500+00:00,9,-15,65,sitting
2021-10-27 15:43:02.218750+00:00,9,-14,64,sitting
2021-10-27 15:43:02.250000+00:00,8,-14,64,sitting
2021-10-27 15:43:02.281250+00:00,9,-14,64,sitting
2021-10-27 15:43:02.312500+00:00,8,-12,61,sitting
2021-10-27 15:43:02.343750+00:00,8,-11,61,sitting
2021-10-27 15:43:02.375000+00:00,9,-12,62,sitting
