datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:15.343750+00:00,-12,-1,46,downstairs,2
2021-10-27 16:13:15.375000+00:00,-11,-2,47,downstairs,2
2021-10-27 16:13:15.406250+00:00,-10,-5,49,downstairs,2
2021-10-27 16:13:15.437500+00:00,-10,-5,56,downstairs,2
2021-10-27 16:13:15.468750+00:00,-9,-4,59,downstairs,2
2021-10-27 16:13:15.500000+00:00,-11,-4,60,downstairs,2
2021-10-27 16:13:15.531250+00:00,-13,-4,63,downstairs,2
2021-10-27 16:13:15.562500+00:00,-12,-1,70,downstairs,2
2021-10-27 16:13:15.593750+00:00,-12,1,70,downstairs,2
2021-10-27 16:13:15.625000+00:00,-14,2,72,downstairs,2
2021-10-27 16:13:15.656250+00:00,-16,5,80,downstairs,2
2021-10-27 16:13:15.687500+00:00,-20,10,82,downstairs,2
2021-10-27 16:13:15.718750+00:00,-11,14,71,downstairs,2
2021-10-27 16:13:15.750000+00:00,-9,12,61,downstairs,2
2021-10-27 16:13:15.781250+00:00,-13,8,59,downstairs,2
2021-10-27 16:13:15.812500+00:00,-13,8,62,downstairs,2
2021-10-27 16:13:15.843750+00:00,-10,8,54,downstairs,2
2021-10-27 16:13:15.875000+00:00,-8,4,47,downstairs,2
2021-10-27 16:13:15.906250+00:00,-9,2,47,downstairs,2
2021-10-27 16:13:15.937500+00:00,-10,-1,49,downstairs,2
2021-10-27 16:13:15.968750+00:00,-10,-2,49,downstairs,2
2021-10-27 16:13:16+00:00,-9,-2,50,downstairs,2
2021-10-27 16:13:16.031250+00:00,-7,-3,52,downstairs,2
2021-10-27 16:13:16.062500+00:00,-8,-3,58,downstairs,2
2021-10-27 16:13:16.093750+00:00,-10,-6,60,downstairs,2
2021-10-27 16:13:16.125000+00:00,-9,-7,62,downstairs,2
2021-10-27 16:13:16.156250+00:00,-12,-5,67,downstairs,2
2021-10-27 16:13:16.187500+00:00,-13,-3,67,downstairs,2
2021-10-27 16:13:16.218750+00:00,-12,-1,68,downstairs,2
