datetime,acc_x,acc_y,acc_z,subject_id,round,type,label
2021-12-08 14:50:19.343750+00:00,-25,40,10,3,1,InMotion,downstairs
2021-12-08 14:50:19.375000+00:00,-33,38,5,3,1,InMotion,downstairs
2021-12-08 14:50:19.406250+00:00,-38,44,7,3,1,InMotion,downstairs
2021-12-08 14:50:19.437500+00:00,-40,49,10,3,1,InMotion,downstairs
2021-12-08 14:50:19.468750+00:00,-45,58,10,3,1,InMotion,downstairs
2021-12-08 14:50:19.500000+00:00,-45,62,13,3,1,InMotion,downstairs
2021-12-08 14:50:19.531250+00:00,-46,71,22,3,1,InMotion,downstairs
2021-12-08 14:50:19.562500+00:00,-36,60,34,3,1,InMotion,downstairs
2021-12-08 14:50:19.593750+00:00,-40,65,39,3,1,InMotion,downstairs
2021-12-08 14:50:19.625000+00:00,-39,59,39,3,1,InMotion,downstairs
2021-12-08 14:50:19.656250+00:00,-35,58,38,3,1,InMotion,downstairs
2021-12-08 14:50:19.687500+00:00,-19,45,38,3,1,InMotion,downstairs
2021-12-08 14:50:19.718750+00:00,-17,39,37,3,1,InMotion,downstairs
2021-12-08 14:50:19.750000+00:00,-13,28,43,3,1,InMotion,downstairs
2021-12-08 14:50:19.781250+00:00,-12,20,46,3,1,InMotion,downstairs
2021-12-08 14:50:19.812500+00:00,-13,19,45,3,1,InMotion,downstairs
2021-12-08 14:50:19.843750+00:00,-16,19,49,3,1,InMotion,downstairs
2021-12-08 14:50:19.875000+00:00,-16,21,51,3,1,InMotion,downstairs
2021-12-08 14:50:19.906250+00:00,-13,17,55,3,1,InMotion,downstairs
2021-12-08 14:50:19.937500+00:00,-10,15,55,3,1,InMotion,downstairs
2021-12-08 14:50:19.968750+00:00,-10,12,54,3,1,InMotion,downstairs
2021-12-08 14:50:20+00:00,-5,15,62,3,1,InMotion,upstairs
2021-12-08 14:50:20.031250+00:00,-5,8,59,3,1,InMotion,upstairs
2021-12-08 14:50:20.062500+00:00,-5,7,58,3,1,InMotion,upstairs
2021-12-08 14:50:20.093750+00:00,-4,8,60,3,1,InMotion,upstairs
2021-12-08 14:50:20.125000+00:00,-4,14,60,3,1,InMotion,upstairs
2021-12-08 14:50:20.156250+00:00,-1,16,54,3,1,InMotion,upstairs
2021-12-08 14:50:20.187500+00:00,3,20,54,3,1,InMotion,upstairs
2021-12-08 14:50:20.218750+00:00,6,18,54,3,1,InMotion,upstairs
2021-12-08 14:50:20.250000+00:00,10,15,56,3,1,InMotion,upstairs
2021-12-08 14:50:20.281250+00:00,1,20,56,3,1,InMotion,upstairs
2021-12-08 14:50:20.312500+00:00,-1,21,58,3,1,InMotion,upstairs
2021-12-08 14:50:20.343750+00:00,-1,19,56,3,1,InMotion,upstairs
2021-12-08 14:50:20.375000+00:00,1,19,58,3,1,InMotion,upstairs
2021-12-08 14:50:20.406250+00:00,3,18,57,3,1,InMotion,upstairs
2021-12-08 14:50:20.437500+00:00,5,19,58,3,1,InMotion,upstairs
